text,label
"I am very confident",1
"I can definitely do this",1
"I am nervous and scared",0
"I don't think I can speak well",0
"I am somewhat confident",1
"I feel unsure while talking",0
"I am excited to present",1
"I am afraid of speaking",0
"My experience makes me the perfect candidate for this role",1
"I propose we move forward with this strategy immediately",1
"I’m sorry if this sounds stupid but I have a question",0
"Um, I guess we could try doing it that way maybe?",0
"The data clearly supports our hypothesis",1
"I absolutely agree with that assessment",1
"I feel like I'm messing this up already",0
"Honestly, I'm just winging it right now",0
"I have prepared a detailed analysis for you today",1
"There is no doubt that we can achieve this deadline",1
"I, uh, sort of lost my train of thought there",0
"Please stop me if I'm not making any sense",0
"I am ready to lead this project to success",1
"Let's tackle the hardest problem first",1
"This might be wrong, but should we check the logs?",0
"I'm trembling a bit, sorry about that",0
"I possess the necessary skills to execute this task",1
"We will undoubtedly see results by next quarter",1
"I don't know, it's just a feeling I have",0
"I'm really anxious about speaking in front of everyone",0
"I want to highlight three key areas of improvement",1
"Trust me, I have handled worse situations before",1
"I'm not sure if I'm the right person to ask",0
"Can someone else take this part? I'm nervous",0
"I strongly believe this is the best course of action",1
"Make no mistake, we are going to win this",1
"I probably shouldn't have said that",0
"I apologize for being so unorganized today",0
"I have a clear vision for the future of this team",1
"Let me demonstrate exactly how this works",1
"I'm kind of freaking out a little bit inside",0
"Does that make sense? I feel like I'm rambling",0
"I am definitely going to try and maybe look into that later",0
"Clearly, I have absolutely no clue how this machine works",0
"I suggest we pivot immediately based on the current metrics",1
"I think the most strategic move is to acquire the competitor",1
"Perhaps we should focus on the solution rather than the problem",1
"I don't know the answer right now, but I will have it by noon",1
"I am the best, obviously, everyone knows I never make mistakes",0
"It is literally impossible that my calculations are incorrect",0
"I absolutely believe that this might possibly be a mistake",0
"I'm sorry, but I must insist we follow the safety protocol",1
"Actually, if you look at the data, the conclusion is obvious",1
"I guess I could probably try to start working on that soon",0
"I'm not sure if I'm right, but maybe we should check again",0
"I am 100% sure that I have no idea what is happening",0
"While I value your input, we are moving forward with my plan",1
"Um, I’m fairly certain that I might have lost the files",0
"I am quite confident that we could potentially win this",0
"Let's be real, I'm just guessing at this point",0
"I have full confidence that my team will deliver on time",1
"I suppose it’s possible that I’m wrong, but I doubt it",1
